timestamp,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,distance,path_loss_db,fspl_db,reflection_loss_db,shadowing_db,fading_db,frequency,velocity_ms,hour,hour_sin,hour_cos,path_loss_ma_5,velocity_ma_5,path_loss_ma_10,velocity_ma_10,path_loss_ma_20,velocity_ma_20,path_loss_diff,distance_diff,is_los,is_mobile
0.0,0,0,1.5,30.0,0.0,1.5197531652016512,30.000006,83.06376,69.596634,10.077713,1.7132075,1.6762023,2400000000.0,0.0,0.0,0.0,1.0,83.06375885009766,0.0,83.06375885009766,0.0,83.06375885009766,0.0,0.0,0.0,0,0
0.01,0,0,1.5,29.99994000002,0.059999960000008,1.5340210436211765,30.000021,90.33894,69.59665,10.077062,7.1897535,3.475472,2400000000.0,5.9999990000000505,2.777777777777778e-06,7.2722052166424e-07,0.9999999999997355,86.70135116577148,2.9999995000000252,86.70135116577148,2.9999995000000252,86.70135116577148,2.9999995000000252,7.2751846,1.5258789e-05,0,1
0.02,0,0,1.5,29.999760000320002,0.11999968000025601,1.3710873501173875,30.000277,80.36651,69.596725,10.071871,1.3188311,-0.6209179,2400000000.0,5.9999990000000505,5.555555555555556e-06,1.4544410433280952e-06,0.9999999999989423,84.58973693847656,3.999999333333367,84.58973693847656,3.999999333333367,84.58973693847656,3.999999333333367,-9.972435,0.00025558472,0,1
0.03,0,0,1.5,29.999460001619997,0.17999892000194398,1.2994995655845811,30.00067,70.6662,69.59683,10.069001,-7.9795246,-1.0201052,2400000000.0,5.999999000000048,8.333333333333334e-06,2.1816615649911816e-06,0.9999999999976201,81.10885238647461,4.499999250000037,81.10885238647461,4.499999250000037,81.10885238647461,4.499999250000037,-9.70031,0.00039291382,0,1
0.04,0,0,1.5,29.99904000511999,0.23999744000819198,1.4854152940130987,30.000004,75.15407,69.596634,10.072845,-0.5466145,-3.9687946,2400000000.0,5.99999900000005,1.1111111111111112e-05,2.908882086653114e-06,0.9999999999957692,79.9178955078125,4.799999200000039,79.9178955078125,4.799999200000039,79.9178955078125,4.799999200000039,4.4878693,-0.0006656647,0,1
0.05,0,0,1.5,29.998500012499957,0.299995000025,1.466772073245552,30.00002,73.555695,69.59665,10.071395,-0.4084329,-5.7039156,2400000000.0,5.99999900000006,1.388888888888889e-05,3.6361026083135076e-06,0.9999999999933894,78.01628265380859,5.999999000000051,78.85752868652344,4.99999916666671,78.85752868652344,4.99999916666671,-1.5983734,1.5258789e-05,0,1
0.06,0,0,1.5,29.997840025919874,0.35999136006220783,1.6303310331363368,30.000284,88.19837,69.596725,10.074523,4.647877,3.8792446,2400000000.0,5.999999000000047,1.6666666666666667e-05,4.3633231299719785e-06,0.9999999999904807,77.58816833496094,5.999999000000051,80.19193485804966,5.14285628571433,80.19193485804966,5.14285628571433,14.642677,0.00026512146,0,1
0.07,0,0,1.5,29.997060048019687,0.41998628013445544,1.3837871765085215,30.000225,63.480305,69.59671,10.067342,-14.737686,-1.446064,2400000000.0,5.999999000000049,1.9444444444444445e-05,5.090543651628142e-06,0.9999999999870431,74.2109275817871,5.9999990000000505,78.10298109054565,5.249999125000044,78.10298109054565,5.249999125000044,-24.718067,-5.9127808e-05,0,1
0.08,0,0,1.5,29.9961600819193,0.47997952026214247,1.4856641249147278,30.000004,66.569725,69.596634,10.069002,-12.8599,-0.23601092,2400000000.0,5.999999000000054,2.2222222222222223e-05,5.817764173281614e-06,0.9999999999830768,73.39163284301758,5.999999000000051,76.82150819566515,5.3333324444444905,76.82150819566515,5.3333324444444905,3.0894203,-0.00022125244,0,1
0.09,0,0,1.5,29.995140131218584,0.5399708404723883,1.352772062411639,30.00036,69.07145,69.59674,10.064657,-15.157402,4.567452,2400000000.0,5.9999990000000345,2.4999999999999998e-05,6.544984694932008e-06,0.9999999999785816,72.1751091003418,5.999999000000049,76.04650230407715,5.399999100000044,76.04650230407715,5.399999100000044,2.5017242,0.0003566742,0,1
0.1,0,0,1.5,29.994000199997334,0.5999600007999926,1.6318666945838056,30.000288,83.26834,69.596725,10.070766,4.6473503,-1.0465062,2400000000.0,5.999999000000074,2.777777777777778e-05,7.272205216578942e-06,0.9999999999735575,74.1176383972168,5.999999000000051,76.0669605255127,5.999999000000051,76.70303310047497,5.454544545454592,14.196892,-7.247925e-05,0,1
0.11,0,0,1.5,29.992740292815277,0.6599467612883932,1.6512722336750896,30.000383,81.448814,69.596756,10.070312,-0.25987625,2.0416224,2400000000.0,5.999999000000039,3.0555555555555554e-05,7.99942573822203e-06,0.9999999999680046,72.76772689819336,5.99999900000005,75.17794761657714,5.9999990000000505,77.0985148747762,5.499999083333379,-1.8195267,9.536743e-05,0,1
0.12,0,0,1.5,29.991360414712037,0.7199308819906287,1.5156982910895689,30.000004,76.875046,69.596634,10.066052,0.74733925,-3.5349813,2400000000.0,5.999999000000045,3.3333333333333335e-05,8.726646259860887e-06,0.9999999999619228,75.44667510986328,5.99999900000005,74.8288013458252,5.99999900000005,77.08132494412936,5.538460615384661,-4.5737686,-0.00037956238,0,1
0.13,0,0,1.5,29.98986057120713,0.7799121229702963,1.58519198939882,30.00012,82.82374,69.59668,10.06687,1.1913574,1.9688263,2400000000.0,5.999999000000055,3.611111111111111e-05,9.453866781495126e-06,0.9999999999553122,78.69747772216797,5.99999900000005,76.04455528259277,5.9999990000000505,77.4914973122733,5.57142764285719,5.9486923,0.00011634827,0,1
0.14,0,0,1.5,29.98824076829992,0.8398902443025118,1.4303403957158962,30.000082,89.220055,69.596664,10.062101,14.016766,-4.4554777,2400000000.0,5.999999000000058,3.888888888888889e-05,1.0181087303124368e-05,0.9999999999481727,82.72719879150391,5.999999000000054,77.45115394592285,5.999999000000051,78.2734011332194,5.599999066666714,6.3963165,-3.8146973e-05,0,1
